spokesperson,date,media,question,answer
 Lin Jian,04/16/25,People's Daily," General Secretary of the Central Committee of the Communist Party of China and President Xi Jinping concluded the state visit to Viet Nam yesterday. This is his first overseas trip this year, and also the first leg of the trip to the three Southeast Asian countries, which is closely followed by the international community. Could you share more details with us?","Lin Jian: From April 14 to 15, General Secretary of the Central Committee of the CPC and President Xi Jinping paid a state visit to Viet Nam upon invitation. This is General Secretary and President Xi Jinping’s fourth visit to Viet Nam in 10 years and the first leg of his first overseas trip this year. While in Viet Nam, General Secretary and President Xi Jinping had talks with General Secretary of the Central Committee of the Communist Party of Viet Nam To Lam, met with Vietnamese President Luong Cuong, Prime Minister Pham Minh Chinh and Chairman of the National Assembly of Viet Nam Tran Thanh Man, and met with representatives attending Chinese and Vietnamese People’s Friendship Meeting. The two general secretaries jointly witnessed the display of 45 bilateral cooperation documents signed between China and Viet Nam and attended the launching ceremony of the China-Viet Nam railway cooperation mechanism. The two sides issued a joint statement on further deepening their comprehensive strategic cooperative partnership and accelerating the building of the China-Viet Nam community with a shared future that carries strategic significance. The visit is a full success which adds new dynamism to the building of the China-Viet Nam community with a shared future and the socialist cause of the two countries, and provides positive energy for prosperity and stability in the region and beyond.This year marks the 75th anniversary of China-Viet Nam diplomatic ties and the China-Viet Nam Year of People-to-People Exchanges, which presents an important opportunity to build on what has been achieved and take the relationship into the next chapter. While in Viet Nam, General Secretary and President Xi Jinping proposed six measures to deepen the building of the China-Viet Nam community with a shared future. He said we need to elevate strategic mutual trust to a higher level, build more robust security safeguards, expand higher-quality mutually beneficial cooperation, make the people-to-people bond more broad-based, carry out closer multilateral coordination, and engage in more constructive maritime interactions. Both sides agreed to firmly strengthen friendship, support each other in pursuing the socialist path suited to our respective national conditions, elevate strategic mutual trust to a higher level, build pillars for more practical security cooperation, seize the opportunity of the formation of new quality productive forces in China and new types of productive forces in Viet Nam to conduct more broad-based, in-depth, and comprehensive cooperation, consolidate the public support for the China-Viet Nam community with a shared future, have closer multilateral strategic coordination, properly handle and resolve differences, and act in the larger interest of China-Viet Nam friendship.China will work with Viet Nam to implement the important common understandings between the top leaders of the two parties and two countries, renew their long-standing friendship featuring “camaraderie plus brotherhood”, act in line with the overarching goals characterized by “six mores”, advance their comprehensive strategic cooperation with high-quality efforts, uphold international fairness and justice, ensure steady and sustained progress in building the China-Viet Nam community with a shared future, and make new and greater contributions to building a community with a shared future for mankind."
 Lin Jian,04/16/25,TVT Brazil," Yesterday, Bloomberg reported, citing people familiar with the matter, that China told its domestic airlines to suspend deliveries from Boeing of Boeing jets. The first question is if the Ministry of Foreign Affairs can confirm this decision. And the second one is, even if there isn’t such a decision, the cost of Boeing’s jets became significantly higher with the counter tariffs in response to Trump’s tariffs. With this scenario, is China considering enhancing business with Embraer?","Lin Jian: On your first question, I’m not familiar with what you said. I would like to refer you to competent authorities. On your second question, I also would like to refer you to competent authorities. More broadly, let me point out that Brazil is an aerospace heavyweight and China attaches high importance to the effort of carrying out practical cooperation with Brazil in aerospace and other areas. We welcome Chinese airliners and the Brazilian side carrying out cooperation based on market principles."
 Lin Jian,04/16/25,China Daily, We’ve learned that the Chinese government deposited of its instrument of accession to the Agreement on Port State Measures to the UN Food and Agriculture Organization on March 17 this year. The agreement officially applies to China starting from today. This is an important agreement on global fisheries governance. What is your comment?,"Lin Jian: China is a responsible country in fisheries. We attach great importance to the conservation and sustainable use of fisheries resources and adopt a zero-tolerance attitude towards illegal, unreported, and unregulated (IUU) fishing. The accession to the Agreement on Port State Measures represents China’s action to practice true multilateralism, and demonstrates the concrete effort of China to advance global ocean governance and uphold international maritime order. China will act in the spirit of a community with a shared future for mankind, faithfully perform its rights and duty in accordance with the agreement, and work with the international community to realize the UN 2030 Agenda for Sustainable Development. "
 Lin Jian,04/16/25,NHK," I also have a question on the issue of tariffs. The White House press secretary quoted the U.S. president saying “The ball is in China’s court, and China needs to make a deal with us. We don’t have to make a deal with them.” What is China’s response to this statement?","Lin Jian: This tariff war was started by the U.S. China has taken necessary countermeasures in order to defend its legitimate rights and interests and international fairness and justice. This is fully justified and lawful. China’s position has been very clear. Tariff and trade wars have no winners. China does not want to fight these wars but is not scared of them. If the U.S. truly wants to resolve the issue through dialogue and negotiation, it should stop using maximum pressure, stop threats and blackmail and seek dialogue with China on the basis of equality, respect and mutual benefit."
 Lin Jian,04/16/25,China News Service," It’s reported that on April 13 local time, the second round of voting in Ecuador’s presidential election was concluded. Figures released by Ecuador’s National Electoral Council showed that, Daniel Noboa, candidate of the National Democratic Action and incumbent President, received over 55 percent of the vote and won the presidential election. What’s China’s comment?  ","Lin Jian: China congratulates President Noboa on his reelection and believes that under the leadership of President Noboa, Ecuador will achieve new progress in national economic and social development.Ecuador is China’s comprehensive strategic partner and this year marks the 45th anniversary of diplomatic ties between China and Ecuador. China attaches high importance to growing its friendly ties with Ecuador and stands ready to work with the new government of Ecuador to move the bilateral ties forward and bring more benefit to the two countries and two peoples."
 Lin Jian,04/16/25,Beijing Daily," We noted that since the beginning of this year, people-to-people exchanges between China and other countries have been full of highlights. More and more foreign friends, including an Oscar winner and a U.S. social media influencer, have visited China. At the Osaka Expo that kicked off last weekend, the China Pavilion made a stunning debut. Its traditional design and exhibits of modern technology draw droves of visitors lining up. China is increasingly attractive to foreigners. What’s your comment?","Lin Jian: Congratulations on the opening of the China Pavilion at the Osaka Expo. We are glad to see the pavilion get thumbs up from locals there. I noted that the China Council for the Promotion of International Trade has played a leading role in setting up the China Pavilion and the pavilion boasts an exterior design of bamboo scrolls and the aesthetics of traditional Chinese gardens. Moreover, it debuts side by side the lunar soil samples collected by China’s Chang’e probes from the moon’s near and far sides, and displays tech products such as the “Jiaolong” deep-sea submersible experience capsule and next-generation humanoid robots. I believe visitors will be deeply impressed by the traditional cultural elements and modern technological breakthroughs.From overseas virtual tours to “China Travel,” a growing number of foreigners visit China to get a first-hand experience of the country. Latest data show that in the first three months of this year, China received 9.215 million foreign travelers, up by 40.2 percent year-on-year compared with last year. Among them, 71.3 percent entered China visa-free. This would have been impossible without China’s visa-free transit policy which allows foreign visitors to stay longer and travel more in China. It also relies on China’s streamlined visa application, “Buy Now, Refund Now” for efficient departure tax refunds, and other facilitation measures that make it easier to visit China.We welcome more foreign friends to visit China in this warm spring!"
 Lin Jian,04/16/25,TVT Brazil," Yesterday, Brazilian media informed that there is an intention of having an extraordinary meeting of BRICS trade ministers to discuss the U.S. tariffs among other topics. Would China confirm this possibility? And could you address the importance of the BRICS addressing this topic on the U.S. tariffs?","Lin Jian: As an important platform of cooperation for emerging markets and developing countries, BRICS advocates openness, inclusiveness and win-win cooperation, with the aim of realizing common development and prosperity. All BRICS countries oppose unilateralism, protectionism and economic bullying, and will work together to uphold the WTO-centered multilateral trading system and safeguard global economic stability. On the meeting you asked, I’d refer you to competent authorities."
 Lin Jian,04/15/25,CCTV," We noted that last weekend, the fifth China International Consumer Products Expo opened. Yesterday, the 2025 Global Industrial Investment Promotion Conference for the Hainan Free Trade Port was held. This morning, the 137th Canton Fair kicked off in Guangzhou. Some believe that amid the looming tariff and trade war, China has hosted multiple events, which shows its commitment to opening up. What’s your comment?","Lin Jian: I believe many from both Chinese and foreign media have noted recent events. The fifth China International Consumer Products Expo (CICPE) was attended by 65 Fortune Global 500 companies and over 4,100 consumer brands, a record high in its history. At the 2025 Global Industrial Investment Promotion Conference for the Hainan Free Trade Port during the CICPE, 265 projects were signed with an investment of about RMB 233.6 billion. At the Canton Fair that kicked off this morning, nearly 73,000 booths are dedicated to export-related displays and the number of exhibitors surpasses 30,000 for the first time. Moreover, the China Development Forum 2025 that was held not long ago attracted official representatives from 86 multinationals in 21 countries. The success of these events says a lot about the resolve and confidence of all parties in strengthening trade and economic cooperation and resisting unilateralism and protectionism.Being more and more open is China’s firm commitment to sharing development with the rest of the world. Since 2017, the negative list for foreign investment has been shortened from 93 to 29 items nationwide, and all restrictions on access in the manufacturing sector have been removed. Last year, 59,000 foreign-invested companies were newly established in China, up by 9.9 percent year-on-year. According to the latest data released by competent authorities yesterday, China’s total import and export of goods reached RMB 10.3 trillion in the first quarter, of which exports exceeded RMB 6 trillion with a relatively fast growth of 6.9 percent.China is the world’s market and a source of opportunities for every country. In a world full of uncertainties, China will continue to seek joining hands rather than throwing punches, removing barriers rather than erecting walls, and promoting connectivity rather than decoupling. We will further expand the trade network, be an even stronger magnet for investment, and provide stability and positive energy to the world economy through high-quality development and high-standard opening up."
 Lin Jian,04/15/25,AFP, There have been reports in the last few days that Google Maps now shows the name “West Philippine Sea” for the body of water next to the Philippines where previously it only showed the South China Sea. Does China have any comment on this apparent change by Google?  ,"Lin Jian: Let me point out that “South China Sea” is the geographic name that has long been used, recognized and accepted by the international community, including countries worldwide and international organizations such as the UN."
 Lin Jian,04/15/25,Ukrinform News Agency," Two Chinese nationals, who were fighting as part of the occupying Russian army and were captured by Ukrainian defense forces in the Donetsk region, yesterday at a briefing in Kyiv have declared their readiness for a prisoner exchange and appealed to the Chinese government to bring them back home. Would the Ministry like to comment on this?","Lin Jian: China’s position on relevant issue is very clear. We’ve issued multiple security alerts to ask Chinese nationals to stay away from areas of armed conflict, avoid any form of involvement in armed conflict, and in particular avoid participation in any party’s military operations. We are verifying relevant information. With regard to the personal behavior and individual consular cases involving Chinese nationals overseas, China will handle that in accordance with the law. China’s position on the issue of the Ukraine crisis is consistent and clear. We have all along been committed to promoting talks for peace and ending the conflict. We urge relevant parties to have a correct and clear understanding of China’s objective and just position and refrain from political manipulation and hype.  "
 Lin Jian,04/15/25,Hubei Media Group, It’s reported that Dominican Interior Minister Faride Raful said on April 14 that the death toll from the roof collapse in the capital of the Dominican Republic has risen to 231. What’s China’s comment? Has China sent sympathies to the Dominican side?  ,"Lin Jian: China sent deep sympathies to the Dominican Republic. We mourned for the lives lost, and our thoughts are with the bereaved families and the injured. We hope those who are injured get well soon. "
 Lin Jian,04/15/25,AFP, The Harbin Public Security Bureau said today they implicated three U.S. agents in cyberattacks during the Asian Winter Games earlier this year. I just wonder if the Ministry would like to comment on this case.,"Lin Jian: We noted the reports. We previously made clear China’s position more than once. At the ninth Asian Winter Games, the U.S. government conducted cyberattacks on the information systems of the Games and the critical information infrastructure in Heilongjiang. This move is egregious for it severely endangers the security of China’s critical information infrastructure, national defense, finance, society and production as well as its citizens’ personal information. China condemns the above-mentioned malicious cyber activity by the U.S. government.China raised concerns with the U.S. through various means about its cyberattacks on China’s key infrastructure. We urge the U.S. to take a responsible attitude on the cybersecurity issue, and stop any attack, including cyberattack, and groundless vilification against China. China will continue to do what is necessary to protect its own cybersecurity. "
 Lin Jian,04/15/25,Beijing Youth Daily," advancing towards more in-depth and effective implementation.” Can you share with us how the effect of national security education is reflected in diplomatic work, and how to ensure diplomatic work help keep the country secure and the world peaceful and tranquil?","Lin Jian: After the 18th CPC National Congress, the CPC Central Committee with Comrade Xi Jinping at its core put forward a new holistic approach to national security, providing the fundamental principle and guidance for national security work in the new era. Over the past few years, various education activities have been held around the country for people to gain a deeper understanding of this thinking, and increase awareness and sense of responsibility for national security.We in the foreign service are staunch defenders of and active contributors to national security. We work hard to deepen our understanding of and closely follow the holistic approach to national security, actively carry out national security education, and take concrete actions to fulfill our responsibility and mission of defending national security through diplomatic work. We firmly safeguard national sovereignty, security and development interests with strong determination and strenuous effort, and stand against any external pressure, threats and coercion. We have actively advanced the Global Security Initiative, promoted international security cooperation, and worked with various parties to jointly address traditional and non-traditional security challenges, improve global security governance, and make the world as a whole a safer place.As we embark on the new journey, China’s diplomacy will continue to apply the holistic approach to national security in our diplomatic work, and aim to firmly defend national sovereignty, security and development interests, advance the Global Security Initiative, hold high the banner of building a community with a shared future for mankind, and work with other countries to build a beautiful world that enjoys lasting peace and universal security."
 Lin Jian,04/15/25,Bloomberg," The U.S. Treasury Secretary recently described China’s investments in certain Global South countries as “rapacious,” saying they take the countries’ mineral rights and leave them with debts on their balance sheets. Does the Foreign Ministry have any comment on those remarks?","Lin Jian: China is always an important member of the Global South and stays committed to promoting solidarity and revitalization of the Global South. The economic and trade cooperation between China and Global South countries as well as other countries follows international rules and market rules, and is characterized by complementarity and mutual benefit. The cooperation not only improves the well-being of the people in developing countries, but also promotes economic transformation and upgrading in these countries, thus bringing tangible benefits to countries’ prosperity and development and people’s lives.  I noted that the U.S. official you mentioned made those remarks in Latin America. Let me point out that China carries out practical cooperation with countries in Latin America and the Caribbean (LAC) on the basis of mutual respect, equality and mutual benefit, which greatly boosted socioeconomic development in LAC countries and was welcomed and commended by them. The U.S. long-term bullying and plundering has left Latin America with open veins. The U.S. is not in the position to point fingers at the cooperation between China and LAC countries."
 Lin Jian,04/14/25,CCTV," The world is closely following the devastating impact of the Trump administration’s tariff hikes on other countries. As two major economies in the world, China and the EU have recently had quite a lot of high-level exchanges. Could you share with us the communication and coordination between China and the EU on additional U.S. tariffs?","Lin Jian: The U.S. uses tariff as a weapon to exert maximum pressure and seek selfish gains, and puts its own interests over the public good of the international community. This is a typical move of unilateralism, protectionism and economic bullying, which severely hurts the interests of China, the EU and the rest of the world.As the second and third largest economies, China and the EU collectively account for over one third of the global economy and more than a quarter of global trade. Both sides are advocates of economic globalization and trade liberalization, and firm defenders and supporters of the WTO. The head of the EU underscored the vital importance of stability and certainty for a sound global economy. China and the EU are committed to a fair, free and WTO-centered multilateral trading system, and the sound and steady development of global trade and economic relations, which is in the interest of both sides and the rest of the world.As a responsible major country, China has already taken resolute measures and will continue to do so to safeguard its legitimate interests. China stands ready to work with the international community, including the EU, to step up communication and coordination, share development opportunities, expand opening up and cooperation, and achieve mutual benefits. We will not only safeguard respective interests, but also defend international trade rules, fairness and justice."
 Lin Jian,04/14/25,China-Arab TV, The U.S. kept changing its tariffs policy and for now granted exemption on part of Chinese imports. What’s China’s view? Will China cut tariffs correspondingly?,"Lin Jian: The spokesperson of the Ministry of Commerce has made clear China’s view on this. Facts have shown and will continue to show that there are no winners in a trade war or a tariff war and protectionism will lead nowhere. The tariff tsunami hurts the U.S. itself as well as other countries. We urge the U.S. to quit maximum pressure and resolve issues through dialogue on the basis of equality, respect and mutual benefit."
 Lin Jian,04/14/25,China News Service,  recently said China will take firm countermeasures against the U.S.’s additional visa restrictions on Chinese officials determined to be substantially involved in the formulation or execution of policies related to access for foreigners to “Tibetan Areas.” Could you share more details on these countermeasures?,"Lin Jian: Xizang affairs are purely China’s internal affairs. The U.S.’s arbitrary visa restrictions on Chinese officials under the pretext of the Xizang-related issues violate international law and basic norms governing international relations. In accordance with the Law on Foreign Relations of the People’s Republic of China and the Anti-Foreign Sanctions Law of the People’s Republic of China, China decided to impose visa restrictions on U.S. personnel who have acted egregiously on the Xizang-related issues.Xizang is an open region. We welcome friends from foreign countries to visit, travel and do business in China’s Xizang region. At the same time, we oppose any country or individual using human rights, religion and culture as a false pretext to meddle in Xizang affairs. We oppose interference and sabotage by people with ill motives who would use visits to Xizang as an opportunity to engage in such activities.  "
 Lin Jian,04/14/25,Antara," Indonesia and China celebrated the 75th anniversary of the establishment of diplomatic relations yesterday on April 13th. In his exchange of congratulatory messages with President Prabowo Subianto, the Chinese leader stated that we should enrich the China-Indonesia community with a shared future and it serves as a model of solidarity between major developing countries. My question is, amid the current complex and turbulent international landscape, what opportunities can be further explored to deepen cooperation between the two countries?","Lin Jian: Yesterday marked the 75th anniversary of diplomatic ties between China and Indonesia. President Xi Jinping and President Prabowo Subianto exchanged congratulatory messages, spoke highly the development of bilateral ties, and stressed that they will firmly support each other’s national development outlook, jointly advance along our respective modernization path, and lead the relationship to new heights. We have full confidence in a better future of the growth of China-Indonesia relations.Both China and Indonesia are major developing countries and important forces in the Global South. The cooperation between the two countries has strategic significance and global influence. Amid increasing turbulence in the international landscape, the all-round strategic cooperation between China and Indonesia is all the more important. As we celebrate the 75th anniversary of our diplomatic ties, China stands ready to work with Indonesia to jointly uphold regional development, prosperity and stability, work for closer coordination between major countries in response to global challenges, keep the multilateral trading system and industrial and supply chains stable and smooth, and demonstrate the influence of China-Indonesia community with a shared future in the region and the world at large."
