text,labels
Japan named COVID-19 mRNA vaccine the 'deadliest drug in history',1
A Centers for Disease Control and Prevention study finds children who received the Pfizer covid vaccine are more likely to get covid infection than unvaccinated.,1
A Dutch government official admitted the COVID-19 pandemic was a “military operation.”,1
"The CEO of BioNTech, which developed a COVID-19 vaccine with Pfizer, did not get vaccinated.",1
"“Ivermectin is a treatment after Covid and after vaccination, it is an effective medicine in all phases of Covid 19.”",1
Republic TV’s video warning that a fourth wave of COVID-19 will hit India in January 2025.,1
Kelly Powers died from 'turbo cancer' caused by the Covid-19 vaccine,1
South African trauma surgeon Dr Vicky Jennings die after suffering a sudden heart attack due to COVID19 vaccine,1
It would take decades to produce enough COVID-19 to vaccinate the world population,1
"Brain clots are 112,000% more likely after COVID-19 vaccine than a flu jab.",1
Fox News commentator Dr. Kelly Powers died from “turbo cancer” caused by COVID-19 vaccines.,1
Studies show COVID-19 vaccinated 500% more likely to die of heart attack,1
Post implies Dr. Oz said he was OK with 2-3% of children dying during COVID-19 pandemic,1
Dr. Anthony Fauci has just now admitted COVID vaccines can cause myocarditis,1
COVID-19 vaccines were manufactured by military contractors rather than by Pfizer and Moderna.,1
"39,000 have reported nerve system damage after COVID-19 vaccination",1
A study found mRNA COVID-19 vaccines increase the risk of cancer in children.,1
"During the COVID-19 pandemic, Dr. Mehmet Oz, the television presenter and heart surgeon, said the deaths of 2%-3% more children would be worth it to reopen schools.",1
"A study censored by The Lancet is being circulated again: They conducted 325 autopsies, and 74% of sudden and unexpected deaths were linked to COVID “vaccines”!!",1
Cleveland Clinic Warns Wave of Mass Deaths Will Wipe Out Covid-Vaxxed Within '5 Years',1
"Brain blood clots are 112,000% more likely to occur after COVID-19 vaccine than after the flu vaccine",1
Japan Officially Named Covid mRNA vaccines “Most Deadly Drug in History of Humankind”,1
"George Soros and Bill Gates owned Mologic Ltd, a company producing rapid COVID-19 tests, prior to the pandemic.",1
Japan has officially named COVID-19 vaccine as most deadly drug,1
Japan declared COVID-19 vaccine is ‘the most deadly drug in history’,1
“COVID-19 mRNA boosters directly contributed to the deaths of millions of nursing home residents worldwide”,1
"Manila Doctors Hospital internist-cardiologist Dr. Anthony Leachon, a former adviser of the National Task Force against COVID-19, endorses Sleepal Gold Colostrum, a product that claims to cure insomnia.",1
The WHO admitted mpox is a side effect of COVID-19 vaccines,1
“[The] number of children in care at the end of October 2023 was 17% higher than the last official figure prior to COVID.”,1
The updated COVID-19 vaccines do “not protect against the currently dominant strain.”,1
SCOTUS ruled COVID-19 vaccines cause 'irreparable' damage,1
The virus that causes COVID-19 has never been isolated and therefore does not exist.,1
"States used ""COVID to cheat"" in the 2020 election.",1
Japan has declared a state of emergency after 'nanobots' were discovered in COVID-19 vaccines.,1
Port Hedland has experienced a 700 per cent increase in deaths since the rollout of COVID-19 vaccines.,1
"COVID-19 vaccines are unsafe, they cause deaths by cardiac arrest and blood clots",1
"As governor of Minnesota, Tim Walz ordered police to shoot residents with paintball guns for not obeying curfew orders during the COVID-19 pandemic.",1
Jay-Z and Kanye West predicted Covid-19 in 2011,1
2020 video of Salman Khan released during COVID-19 lockdown falsely shared with claim that he threatened Lawrence Bishnoi,1
"UKHSA graphs on X depicting hospital admissions for Covid-19, flu and RSV contain data from 2023-24.",1
COVID-19 vaccine myocarditis is common and linked to sudden death,1
Moderna admitted COVID-19 vaccines cause cancer,1
"Covid-19 jab causes more cancer in young people, particularly breast cancer",1
Wearing a COVID-19 mask will protect you from chlorine in the air.,1
"The COVID-19 vaccine weakens the p53 gene, also known as the tumor suppressor gene, increasing the risk of cancer.",1
Tim Walz enforced COVID-19 curfew with police armed with paintball guns,1
"Vice President Kamala Harris and her campaign claimed multiple times that former President Donald Trump lost 200,000 manufacturing jobs before the COVID-19 pandemic started.",1
Biden clip about COVID-19 vaccination from Hurricane Helene,1
"""We’re going to get the auto workers’ jobs back like it was 30 years ago and 40 years ago. ... We were all set to do it, and then we had the COVID disaster come in.""",1
The federal government is bringing back its free COVID-19 test program.,1
Mpox is a cover-up for side-effects of the COVID-19 vaccines.,1
"On April 10, 2020, Kamala Harris posted to X thanking the rapper Diddy for hosting a town hall about the COVID-19 pandemic.",1
More deaths from COVID-19 occurred during Biden's administration than Trump's,1
It’s safe to get the COVID vaccine and flu shot at the same time.,1
CNN has reported that Kamala Harris has told Democrats they need to have the ‘updated covid shot’ in order to vote in the November presidential election.,1
"“THE ASTRA ZENECA COVID JAB CONTAINED MPOX.""",1
COVID-19 deaths in US topped 1 million under Trump,1
The World Economic Forum admitted that the COVID-19 pandemic was a ‘test of public obedience’ to a new world order.,1
Has Arizona experienced a summer spike in COVID-19 cases?,1
Davao City did not have a budget to fund projects for COVID-19 response in 2020.,1
"Covid conspiracists say leaders have admitted virus was ""test""",1
"A 2024 article on mRNA COVID-19 vaccines is a valid, well-done scientific study.",1
Chain message claims COVID-19 apps can track phone contacts,1
Alex Jones fined $150 billion for warning about COVID-19 'crimes’,1
Video shows Kathy Hochul with eye swollen shut after COVID-19 vaccine,1
Alex Jones was fined 150 billion dollars for warning about crimes related to COVID-19,1
A study concludes excess deaths in Australia were caused by COVID-19 vaccines.,1
CDC ended its program offering free COVID vaccines to uninsured people,1
"This incident of school children behaving abnormally happened in a school in Andhra Pradesh, which was once used to store COVID-19 bodies.",1
AstraZeneca's Covid-19 vaccine contains mpox,1
Monkeypox is really Covid-19-vaccine-induced shingles.,1
"COVID-19 was not deadly, otherwise homeless people would not have survived the pandemic",1
"A CNN headline from Aug. 27, 2024, stated: ""BREAKING: Kamala to require all Democrats to take the updated COVID shot in order to vote in November.""",1
Mpox is a side effect of Covid-19 vaccine,1
“MONKEYPOX is a scam. Don't comply. Refuse. • Pfizer wants to clear its COVID-19 vaccine stocks after people shunned them. • Afrika's corrupt political establishment wants to divert the boiling GenZ rebellion. Mpox is another scam by WHO crook.’’,1
"COVID-19 vaccines contain methylmercury, which is causing “Kawasaki-like” diseases.",1
There would have been fewer deaths without Covid-19 vaccines.,1
An article in the journal Circulation claimed that a group of patients’ risk of a heart attack rose from 11% to 25% eight weeks after they received the Covid-19 vaccine.,1
"This video shows Donald Trump warning of election fraud in the US, alleging a resurgence of lockdowns and mandates in the country to battle the spread of monkeypox.",1
Dutch scientists say COVID-19 vaccines caused 35 million deaths.,1
The rising number of breast cancer cases in women under 45 years of age is linked to Covid-19 vaccines.,1
A study found face masks did not help prevent the spread of COVID-19 and even increased the chances of getting infected.,1
“Myocarditis and pericarditis only occur after vaccination and not after COVID-19 infection.”,1
Daily Mail article shows cancer spike tied to COVID-19 vaccine,1
"Review article ""has found that COVID-19 mRNA vaccines could aid cancer development”",1
New guidance says one day of isolation is sufficient for people with COVID-19. Misleading.,1
Rothschild filed a patent for COVID-19 testing in 2015.,1
"CONFIRMED: Covid vaccines are linked to an increase in heart, brain, and blood disorders.",1
"“Hundreds of millions of people were used as lab rats and now the truth that WE ALL ALREADY KNEW can no longer be denied,” suggesting a new study proves that ""experimental"" COVID-19 vaccines are unsafe.",1
The Australian government is not being upfront about a range of COVID information.,1
People can protect themselves from COVID by eating highly alkaline foods.,1
"“Chinese lab crafts mutant COVID-19 strain with 100% kill rate in ‘humanized’ mice""",1
Chinese scientists created 100% lethal mutant COVID-19 strain,1
"""In the past five years, the human rights cause in China has made remarkable progress, particularly in the areas of poverty alleviation and the successful fight against the COVID-19 pandemic.""",1
German scientists uncover evidence that Pfizer-BioNTech COVID-19 vaccine batches in the European Union included placebos,1
A biologist has revealed the Pfizer COVID-19 vaccine contains 200 billion pieces of dangerous DNA.,1
Covid vaccine side effects can cause children's immunity to be lowered,1
Ladapo: No one should get an mRNA COVID-19 vaccine due to risk of DNA contamination.,1
Health department data reveals five children under the age of four have died from COVID-19 vaccines in Australia.,1
A former italian health minister is being investigated for hiding COVID vaccine data,1
"FDA's ""own guidelines dictate"" testing for integration into the human genome of residual DNA from mRNA vaccines.",1
You can order more free at-home COVID-19 tests from the federal government.,1
COVID-19 vaccines have killed more people than COVID-19 itself.,1
"The average age of Covid-19 deaths is higher than the average life expectancy, which means that people who get Covid live longer.",1
"The Covid-19 vaccines are poisons, which commonly produce serious health problems.",1
Matthew Perry died because of a COVID-19 vaccine.,1
A Covid vaccine was developed that used HIV as part of the delivery platform and may have caused HIV infections.,1
"Dr. Peter McCullough, an American cardiologist who has repeatedly made anti-COVID-19 vaccine statements, discredited the World Health Organization (WHO) and the global health community's approach to COVID-19 treatment during a meeting in Strasbourg, Franc",1
"Emails released in September 2023 through a Freedom of Information Act (FOIA) request show that the Biden Administration ""hid deadly COVID vaccine risks from the public.""",1
"A new study by Australian researchers shows that Pfizer’s COVID-19 vaccine caused vaccine acquired immunodeficiency syndrome, or “VAIDS.”",1
COVID-19 only spikes during election seasons.,1
Data from the Centers for Disease Control and Prevention shows that 99% of deaths attributed to COVID-19 were actually caused by something else.,1
The U.S. Centers for Disease Control and Prevention said that a new COVID-19 variant is more contagious among vaccinated people than those who are unvaccinated.,1
CDC has issued a health advisory about XBB COVID subvariant.,1
"Transportation Security Administration managers were told on Aug. 15 that by mid-September they, along with airport employees, will again be required to wear face masks and by mid-October the policy will apply to travelers as well. Further, the managers were told that COVID-19 lockdowns will return by December.",1
£86 billion was added to the NHS budget in 2020/21 to “fight” Covid but the NHS only got £18 billion of it.,1
Covid-19 vaccines are linked to meat allergies,1
"Dr. Tedros Adhanom Ghebreyesus, the director-general of the World Health Organization, ""says he isn't vaccinated.""",1
"""[A] 2021 study of the COVID-19 virus shows that COVID-19 appears to disproportionately affect certain races since the furin cleave docking site is most compatible with Blacks and Caucasians and least compatible with ethnic Chinese, Finns, and Ashkenazi Jews.""",1
