videoId,publishedAt,channelId,title,description,channelTitle,viewCount,likeCount,favoriteCount,commentCount
j5erLk4q-Yw,2024-02-20T17:40:42Z,UC0yHbz4OxdQFwmVX2BBQqLg,ChatGPT 5 is Here! Everything You Need to Know...,"Get TypeAI PREMIUM now! Start your FREE trial by clicking the link here: https://bit.ly/IamAImasterFeb24 Once again, the biggest ...",AI Master,7414,258,0,8
zIWqTJu9HaA,2024-02-08T16:05:00Z,UCQSpnDG3YsFNf5-qHocF-WQ,"Actually, ChatGPT is INCREDIBLY Useful (15 Surprising Examples)","Some people just don't have any imagination ⇒ Become a channel member for special emojis, early videos, and more!",ThioJoe,140120,8008,0,510
AXn2XVLf7d0,2022-12-08T21:56:41Z,UCHhYXsLBEVVnbvsq57n1MTQ,How To Use Chat GPT by Open AI For Beginners,Looking to get more out of ChatGPT? Get my FREE Template: https://myaiadvantage.com/newsletter Master ChatGPT with our ...,The AI Advantage,3654623,40631,0,1324
-4Oso9-9KTQ,2023-06-15T21:45:00Z,UCFbtcTaMFnOAP0pFO1L8hVw,ChatGPT Explained Completely.,"For 16 free meals with HelloFresh PLUS free shipping, use code KYLEHILL16 at https://bit.ly/41QHRYf ChatGPT is now the ...",Kyle Hill,1149571,59726,0,4125
6JeaYWDyw54,2024-02-02T19:09:30Z,UC_RovKmk0OCbuZjA8f08opw,Master ChatGPT in 2024 - Every Feature Explained (hidden ones too),Download the free ChatGPT at Work PDFs: https://clickhubspot.com/cv5 More from Futurepedia: 🖥️ Discover more AI tools: ...,Futurepedia,49605,2152,0,79
HCyHj5xlqpc,2023-12-11T18:00:13Z,UCJvBXBYPWE1aIlrM0r1Ilhw,"ChatGPT, Make Him Love Cheese MORE","I asked ChatGPT to show me a man who loves cheese, then make him love cheese more, more, and even more. In this video I use ...",Greenskull AI,2503681,140738,0,1552
vx0_3BIwUwE,2023-12-14T20:45:02Z,UCJvBXBYPWE1aIlrM0r1Ilhw,TROLLING CHATGPT 4,"I decided to troll ChatGPT by pushing its buttons. Show me a picture of nothing, ChatGPT. It's that simple. In this video I use the AI ...",Greenskull AI,13881516,856624,0,3722
RdAQnkDzGvc,2023-02-15T13:00:15Z,UC1JAwKeDUjN2orv5t7LWODQ,Testing the limits of ChatGPT and discovering a dark side,"As more people discover ChatGPT's artificial intelligence, KARE 11's Chris Hrapsky checks out its capabilities and limitations, and ...",KARE 11,2469866,49024,0,4700
jHv63Uvk5VA,2023-02-25T14:46:49Z,UCg60QRUSvLZMF4zHv2ajBqA,Complete ChatGPT Tutorial - [Become A Power User in 30 Minutes],"Stay ahead of the curve with our AI newsletter: https://neuralfrontier.beehiiv.com/ In this video, I will show you the 10 major types of ...",Santrel Media,2664680,45189,0,1184
Gaf_jCnA6mc,2023-04-04T18:09:53Z,UCTQuKo8v0PaPCvk5aRxc_Yg,ChatGPT Tutorial: How to Use Chat GPT For Beginners 2023,Build an AMAZING wesbite using AI with Hostinger for under $3/month (use code CHARLIECHANG for 90% discount): ...,Charlie Chang,2763876,52491,0,1159
