,text
0,More jobs. More investment. More economic opportunity. #gapol
1,"Marty and I are excited to be back on the campaign trail tomorrow with 
@KLoeffler
, 
@NikkiHaley
, & General King. Hope you can join us -> https://kellyforsenate.com/tour/ #gapol #gasen #KAG #MAGA"
2,ICYMI: Gov. Kemp announces 46 people snared in Georgia gang bust of 'Rollin 20 Neighborhood Bloods' #gapol
3,"I promised that Georgia would stop and dismantle gangs that are flooding our streets with drugs, violence, and fear. Thanks to the 
@GBI_GA
 and local law enforcement, we are making good on that commitment. #gapol"
4,"Now or on November 3rd, vote for the political outsiders! #gapol"
5,"After 47 years, we know what Joe Biden stands for and the radical agenda he will advance. We don’t need another career politician in the White House. We want FOUR MORE YEARS of 
@realDonaldTrump
! #gapol"
6,"Now, I know that 
@JoeBiden
 is in GA today but I’m not sure why. Maybe he wants some good BBQ & southern hospitality or maybe he needed to get out of his basement & taste some freedom. But if Biden is down in GA looking for electoral votes, he’s come to the wrong place! #gapol"
7,"Congratulations on the three-peat, 
@realDonaldTrump
! #gapol #KAGA #MAGA"
8,"Great job, Senator! #gapol"
9,"Way to go, Senator! #gapol"
10,"Moments ago, Judge Amy Coney Barrett was confirmed by the U.S. Senate. RT to join me in thanking Senator 
@KLoeffler
 and Senator 
@Perduesenate
 for their leadership in this fight! #gapol #ACBconfirmation #gasen"
11,Honored by the accolade but the fight to protect lives and livelihoods continues! #gapol
12,Just another reason why November is going to be a great month in Georgia and across the nation! #gapol
13,ICYMI: Port of Savannah continues to recover from pandemic #gapol
14,"Georgia continues to make progress in the fight against human trafficking. We are grateful for federal, state, and local law enforcement and their commitment to the safety of our families. Together, we will end this evil industry once and for all. #gapol"
15,"With 
@realDonaldTrump
, we get a President who believes that our country is exceptional, that life should be protected, and that our men and women in uniform should be RESPECTED! We get an unapologetic leader who will do whatever it takes to Keep America Great! #gapol #KAG #MAGA"
16,".
@Perduesenate
 is a business guy with a proven record of shaking up the status quo and putting hardworking Georgians first. I'm proud to support Sen. Perdue and encourage folks in every corner of our great state to join me! #gapol"
17,"#TBT: Proud to be on the campaign trail last week w/ 
@Perduesenate
 and 
@SecretarySonny
. Appreciate their strong support over the years and proven, conservative leadership in Washington! #gapol"
18,Marty and I are so proud of Amy Porter for being inducted into the National Honor Society. This is a true testament to her hard work and commitment to academic excellence! #gapol
19,"Proud of the 
@Braves
 and what they accomplished. This is only the beginning. Keep choppin! #ForTheA #MixItUp"
20,"My friend 
@Kloeffler
 is ranked the Most Conservative Senator in America - and in today’s #gasen debate, it showed. Marty & I are proud to support Kelly and encourage all hardworking Georgians to join us in voting for her now or on November 3. #gapol"
21,"""Be joyful in hope, patient in affliction, faithful in prayer."" - Romans 12:12 #gapol"
22,"What a night! Thank you 
@realDonaldTrump
 for always having Georgia on your mind! #gapol #KAG #4MoreYears"
23,"Big day in Georgia. #GoDawgs & #MixItUp, 
@Braves
!"
24,"Under the leadership of Direct Vic Reynolds and the 
@GBI_GA
 , we are cracking down on dangerous gangs like MS-13. This week's bust in Cobb County is to be applauded but the fight continues!"
25,".
@GBI_GA
: “Make no mistake. We have documented testimony that we have gang members in every high school and middle school in Cobb County. They’re known for killing women, children by guns, knives and machetes.” #gapol"
26,The Kemp Family proudly supports our brave men and women in uniform. RT if you do too! #BackTheBlue #gapol
27,"We aren’t going to let the radical left take Georgia. We will fight, we will win, and we will deliver FOUR MORE YEARS for President 
@realDonaldTrump
! #gapol #KAG"
28," Enhance competition in the marketplace so consumers get the best coverage at the best price. 
 Improve the health insurance shopping experience for Georgians. 

More insured Georgians. Lower premiums. Better health outcomes. RT to spread the word! #gapol"
29,"The status quo is simply unacceptable. Our healthcare reform package will do the following:
 Provide a NEW opportunity for thousands of hardworking Georgians to access health insurance for the first time. 
 Lower health insurance premiums for millions of Georgia families."
30,"ICYMI: Furniture company to open distribution facility in Liberty County, bringing 50 new jobs -> https://wjcl.com/article/gov-kemp-furniture-company-to-open-distribution-facility-in-liberty-county-bringing-50-new-jobs/34370454… #gapol"
31,Georgia Pathways and Access will make health insurance available for thousands of hardworking Georgians and reduce insurance premiums for millions more. #gapol
32,"Georgia’s own, 
@IAM_JanelleK
, is right! President 
@realDonaldTrump
 is going to win the Peach State on November 3rd because of “safety, a strong economy, and strong leadership.” RT if you agree! #gapol"
33,"Chop on, 
@Braves
! #Choptober"
34,"Incredibly proud of 
@Perduesenate
 for his strong debate performance today on 
@gpbnews
. There's no doubt that Sen. Perdue is a proven leader w/ a real record of results. Hardworking Georgians appreciate his selfless service to our state & country. Keep choppin', Senator! #gapol"
35,"Sound that siren! Way to go, 
@chaseelliott
! #gapol"
36,Big win! Go Dawgs! #DawgNation #ATD
37,"Awesome time down at the 
@GAnationalfair
 in Perry with my family, Commissioner King, and Senator 
@KLoeffler
. Great to see so many hardworking Georgians and show our strong support for Georgia ag! #georgiagrown #gapol"
38,250 jobs and $20 million in investment to Alma in Southeast Georgia! #gapol
39,300 full-time jobs (1000 seasonal jobs) and $40 million in investment down in Henry County! #gapol
40,200 jobs and $27 million in investment coming to Columbus! #gapol
41,ICYMI: More economic development announcements from every corner of our great state! #gapol
42,"Great time with family and friends at the 
@GaLifeAlliance
 Gala. Marty, the girls, and I were honored to spend some time with 
@charlipence
 and truly appreciate her strong support of our efforts to build a culture of life in Georgia and beyond! #gapol"
43,More jobs and economic investment coming to Columbus! https://walb.com/2020/10/08/kysor-warren-epta-us-invests-million-expand-columbus-creates-jobs/… #gapol
44,"Great to be in Athens with the Dooley family to honor U.S. Senator 
@KLoeffler
. Socially distanced but united for victory! #gapol"
45,"On to the next one. Keep Choppin', 
@Braves
! #Choptober #MixItUp #ForTheA"
46,"New cases, hospitalizations, and the state’s positivity rate continue to fall as Georgia leads the great American comeback with thousands of new jobs, billions in new investment, and one of the lowest unemployment rates in the nation. #gapol"
47,Our measured approach to defeating COVID-19 has protected both people and their paychecks. #gapol
48,"Way to go, 
@Braves
! #MixItUp and Keep Choppin! #Choptober"
49,We are making encouraging progress in the fight against COVID-19. Hospitalizations and the state's positivity rate are on the decline while job growth and economic opportunity continues to rise! #gapol
50,Honored to be with you! #gapol
51,"During the first quarter of the fiscal year, 10,000 new jobs were created in Georgia with over $3.7 billion in new investment. I’m proud of the hardworking Georgians in every part of our great state who are helping to lead the great American comeback! #gapol"
52,"It’s officially #Choptober. Go 
@Braves
 and Keep Choppin! #ForTheA #gapol"
53,"“I’m impressed. I did not expect the recovery to be that strong."" #gapol"
54,Another reason to #BackTheBlue and pray for those who risk their lives to keep us safe from harm. #gapol
55,"Congratulations to Judge Amy Coney Barrett on her #SCOTUS nomination. Devoted to faith, family, and the U.S. Constitution, I am confident that Judge Barrett will serve our nation with honor & integrity. Well done, 
@realDonaldTrump
! #gapol #FillTheSeat #ACB"
56,"Marty and the girls stopped by 
@JaemorFarms
 for pumpkins, apples, and a few other #georgiagrown products. Now, more than ever, we need to support our local farms and agri-businesses! #gapol"
57, #gapol
58,It’s Game Day. Let’s #GoDawgs! #ATD
59,"Today, we held a press conference to urge Georgians to do the right thing and fill out the 2020 census. The deadline is September 30th so please RT to help share this important - and timely - reminder! #gapol"
60,"Way to go, 
@Braves
! #ForTheA #MVFree"
