Senator_Name,State,Party,,,
"Alsobrooks, Angela D.",Maryland,Democratic,,,
"Baldwin, Tammy",Wisconsin,Democratic,,,
"Banks, Jim",Indiana,Republican,,,
"Barrasso, John",Wyoming,Republican,,,
"Bennet, Michael F.",Colorado,Democratic,,,
"Blackburn, Marsha",Tennessee,Republican,,,
"Blumenthal, Richard",Connecticut,Democratic,,,
"Blunt Rochester, Lisa",Delaware,Democratic,,,
"Booker, Cory A.",New Jersey,Democratic,,,
"Boozman, John",Arkansas,Republican,,,
"Britt, Katie Boyd",Alabama,Republican,,,
"Budd, Ted",North Carolina,Republican,,,
"Cantwell, Maria",Washington,Democratic,,,
"Capito, Shelley Moore",West Virginia,Republican,,,
"Cassidy, Bill",Louisiana,Republican,,,
"Collins, Susan M.",Maine,Republican,,,
"Coons, Christopher A.",Delaware,Democratic,,,
"Cornyn, John",Texas,Republican,,,
"Cortez Masto, Catherine",Nevada,Democratic,,,
"Cotton, Tom",Arkansas,Republican,,,
"Cramer, Kevin",North Dakota,Republican,,,
"Crapo, Mike",Idaho,Republican,,,
"Cruz, Ted",Texas,Republican,,,
"Curtis, John R.",Utah,Republican,,,
"Daines, Steve",Montana,Republican,,,
"Duckworth, Tammy",Illinois,Democratic,,,
"Durbin, Richard J.",Illinois,Democratic,,,
"Ernst, Joni",Iowa,Republican,,,
"Fetterman, John",Pennsylvania,Democratic,,,
"Fischer, Deb",Nebraska,Republican,,,
"Gallego, Ruben",Arizona,Democratic,,,
"Gillibrand, Kirsten E.",New York,Democratic,,,
"Graham, Lindsey",South Carolina,Republican,,,
"Grassley, Chuck",Iowa,Republican,,,
"Hagerty, Bill",Tennessee,Republican,,,
"Hassan, Margaret Wood",New Hampshire,Democratic,,,
"Hawley, Josh",Missouri,Republican,,,
"Heinrich, Martin",New Mexico,Democratic,,,
"Hickenlooper, John W.",Colorado,Democratic,,,
"Hirono, Mazie K.",Hawaii,Democratic,,,
"Hoeven, John",North Dakota,Republican,,,
"Husted, Jon",Ohio,Republican,,,
"Hyde-Smith, Cindy",Mississippi,Republican,,,
"Johnson, Ron",Wisconsin,Republican,,,
"Justice, James C.",West Virginia,Republican,,,
"Kaine, Tim",Virginia,Democratic,,,
"Kelly, Mark",Arizona,Democratic,,,
"Kennedy, John",Louisiana,Republican,,,
"Kim, Andy",New Jersey,Democratic,,,
"King, Angus S., Jr.",Maine,Independent,,,
"Klobuchar, Amy",Minnesota,Democratic,,,
"Lankford, James",Oklahoma,Republican,,,
"Lee, Mike",Utah,Republican,,,
"Luján, Ben Ray",New Mexico,Democratic,,,
"Lummis, Cynthia M.",Wyoming,Republican,,,
"Markey, Edward J.",Massachusetts,Democratic,,,
"Marshall, Roger",Kansas,Republican,,,
"McConnell, Mitch",Kentucky,Republican,,,
"McCormick, David",Pennsylvania,Republican,,,
"Merkley, Jeff",Oregon,Democratic,,,
"Moody, Ashley",Florida,Republican,,,
"Moran, Jerry",Kansas,Republican,,,
"Moreno, Bernie",Ohio,Republican,,,
"Mullin, Markwayne",Oklahoma,Republican,,,
"Murkowski, Lisa",Alaska,Republican,,,
"Murphy, Christopher",Connecticut,Democratic,,,
"Murray, Patty",Washington,Democratic,,,
"Ossoff, Jon",Georgia,Democratic,,,
"Padilla, Alex",California,Democratic,,,
"Paul, Rand",Kentucky,Republican,,,
"Peters, Gary C.",Michigan,Democratic,,,
"Reed, Jack",Rhode Island,Democratic,,,
"Ricketts, Pete",Nebraska,Republican,,,
"Risch, James E.",Idaho,Republican,,,
"Rosen, Jacky",Nevada,Democratic,,,
"Rounds, Mike",South Dakota,Republican,,,
"Sanders, Bernard",Vermont,Independent,,,
"Schatz, Brian",Hawaii,Democratic,,,
"Schiff, Adam B.",California,Democratic,,,
"Schmitt, Eric",Missouri,Republican,,,
"Schumer, Charles E.",New York,Democratic,,,
"Scott, Rick",Florida,Republican,,,
"Scott, Tim",South Carolina,Republican,,,
"Shaheen, Jeanne",New Hampshire,Democratic,,,
"Sheehy, Tim",Montana,Republican,,,
"Slotkin, Elissa",Michigan,Democratic,,,
"Smith, Tina",Minnesota,Democratic,,,
"Sullivan, Dan",Alaska,Republican,,,
"Thune, John",South Dakota,Republican,,,
"Tillis, Thom",North Carolina,Republican,,,
"Tuberville, Tommy",Alabama,Republican,,,
"Van Hollen, Chris",Maryland,Democratic,,,
"Warner, Mark R.",Virginia,Democratic,,,
"Warnock, Raphael G.",Georgia,Democratic,,,
"Warren, Elizabeth",Massachusetts,Democratic,,,
"Welch, Peter",Vermont,Democratic,,,
"Whitehouse, Sheldon",Rhode Island,Democratic,,,
"Wicker, Roger F.",Mississippi,Republican,,,
"Wyden, Ron",Oregon,Democratic,,,
"Young, Todd",Indiana,Republican,,,
