data,label
@samrene feel better I once waited 45 for an inhaler... @walgreens is horrible at timely service. I switched to @hyvee way better!,negative
Hey @Allstate good hands huh? Then why have I been on hold for 2 hours? Just curious.,negative
I'm not sure if I should be baffled happy or angry but FEMA assessed my damaged home before @allstate #likeagoodneighborwhosoutoftown,negative
RT @hollywoodslinky: I'm not sure if I should be baffled happy or angry but FEMA assessed my damaged home before @allstate #likeagoodneighborwhosoutoftown,negative
@allstate Honestly train your call center a bit more in English comprehension. Not to be insensitive but huge problem for abnormal issues,negative
Sorry @microsoft but @IE9  you need to change style of Internet options! bcuz still like @IE6 open the source and i'll change it by myself!,negative
@Microsoft I can't even pay for the functionality i get for free droid or IOS. Please catch up. Mozart user.,negative
IE8 doesn't support rounded corners and shadow so I have to do it in PS and save as png meaning 150kb vs 33kb. Fuck you @microsoft.,negative
Hey @Microsoft let me explain to you how a fucking pop-up blocker works. If I dismiss the &quot;blocked&quot; message DO NOT show me the pop-up!,negative
I love how msn contacts are randomly blocked.@Microsoft sure know how to fuck with peoples patience.,negative
I'm @walgreens (3631 N Central Ave Hot Springs)  http://we.rw/tfc4K,neutral
Just talked to someone @allstate who I'm pretty sure was a robot #notsatisfied,neutral
@Microsoft products are like peanuts! By themselves they are near pointless! But in the crusher it can make good peanut butter!,neutral
@microsoft - Not crazy about IE9. Why'd you move tabs? What's with the annoying bottom box for every blocked popup? Yellow bar was better.,neutral
Nice advert @microsoft but I run @apple Mac OS X #IE9 doesn't work.  I can't find a the correct download ..! http://yfrog.com/h6xbdp,neutral
RT @Machinima_com: RT @MachinimaSports Constant is in NYC for the @COKEZERO pre-draft party. Got questions for the players? Ask here http://on.fb.me/hUTbEK,neutral
RT @MachinimaSports Constant is in NYC for the @COKEZERO pre-draft party. Got questions for the players? Ask here http://on.fb.me/hUTbEK,neutral
Constant is in NYC for the @COKEZERO pre-draft party. Got questions for the players? Click the link to ask:  http://on.fb.me/hUTbEK,neutral
This in no way surprises me. And I went with @cokezero. RT @katieeperry: diet coke? Sidebar- I was a serial paste-eater. I turned out OK.,neutral
Low level of @cokezero alert. Out to find more.  http://t.co/W2hXyOl,neutral
The NBC Commissary has @CokeZero on fountain. It's little things like that that make my day.,positive
@cokezero vanilla is really good with fish tacos.,positive
just drinkin some @CokeZero and listening to @mtrench :) it's a typical night for me,positive
@CokeZero just incredible taste! it is hard to believe that Zero contains no sugar but it is totally true.,positive
@cokezero If this doesn't make you want a Vanilla Coke Zero I don't know what will. I should advertise for y'all. :) http://t.co/5yNJnW0,positive
@MUpshaw33 Ooh! Rum and p'ipple juice sounds yummy! Crown and @CokeZero here tonight :-),positive
Coolest soda fountain! Touch screen! Select @cokezero and you get all of the flavor choices!  http://t.co/1zwlkT5,positive
RT @Chaz_fromPhilly: @Poppa_Falcon @chooseorlose11 @ChrisEyster @ClatisC @CokeZero @conceptual23  the real deal ATL fan at his finest Poppa_Falcon   #FF,positive
RT @BRADonSPORTS: RT @Chaz_fromPhilly: @Poppa_Falcon @chooseorlose11 @ChrisEyster @ClatisC @CokeZero  the real deal ATL fan at his finest Poppa_Falcon   #FF,positive
RT @Chaz_fromPhilly: @Poppa_Falcon @chooseorlose11 @ChrisEyster @ClatisC @CokeZero  the real deal ATL fan at his finest Poppa_Falcon   #FF,positive
